movie_id,title,release_year,duration,genre
1,Toy Story (1995),1995,120,genre_3
2,GoldenEye (1995),1995,120,genre_1
3,Four Rooms (1995),1995,120,genre_16
4,Get Shorty (1995),1995,120,genre_1
5,Copycat (1995),1995,120,genre_6
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995,120,genre_8
7,Twelve Monkeys (1995),1995,120,genre_8
8,Babe (1995),1995,120,genre_4
9,Dead Man Walking (1995),1995,120,genre_8
10,Richard III (1995),1996,120,genre_8
11,Seven (Se7en) (1995),1995,120,genre_6
12,"Usual Suspects, The (1995)",1995,120,genre_6
13,Mighty Aphrodite (1995),1995,120,genre_5
14,"Postino, Il (1994)",1994,120,genre_8
15,Mr. Holland's Opus (1995),1996,120,genre_8
16,French Twist (Gazon maudit) (1995),1995,120,genre_5
17,From Dusk Till Dawn (1996),1996,120,genre_1
18,"White Balloon, The (1995)",1995,120,genre_8
19,Antonia's Line (1995),1995,120,genre_8
20,Angels and Insects (1995),1995,120,genre_8
21,Muppet Treasure Island (1996),1996,120,genre_1
22,Braveheart (1995),1996,120,genre_1
23,Taxi Driver (1976),1996,120,genre_8
24,Rumble in the Bronx (1995),1996,120,genre_1
25,"Birdcage, The (1996)",1996,120,genre_5
26,"Brothers McMullen, The (1995)",1995,120,genre_5
27,Bad Boys (1995),1995,120,genre_1
28,Apollo 13 (1995),1995,120,genre_1
29,Batman Forever (1995),1995,120,genre_1
30,Belle de jour (1967),1967,120,genre_8
31,Crimson Tide (1995),1995,120,genre_8
32,Crumb (1994),1994,120,genre_7
33,Desperado (1995),1995,120,genre_1
34,"Doom Generation, The (1995)",1995,120,genre_5
35,Free Willy 2: The Adventure Home (1995),1995,120,genre_2
36,Mad Love (1995),1995,120,genre_8
37,Nadja (1994),1994,120,genre_8
38,"Net, The (1995)",1995,120,genre_15
39,Strange Days (1995),1995,120,genre_1
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,120,genre_5
41,Billy Madison (1995),1995,120,genre_5
42,Clerks (1994),1994,120,genre_5
43,Disclosure (1994),1994,120,genre_8
44,Dolores Claiborne (1994),1994,120,genre_8
45,Eat Drink Man Woman (1994),1994,120,genre_5
46,Exotica (1994),1994,120,genre_8
47,Ed Wood (1994),1994,120,genre_5
48,Hoop Dreams (1994),1994,120,genre_7
49,I.Q. (1994),1994,120,genre_5
50,Star Wars (1977),1977,120,genre_1
51,Legends of the Fall (1994),1994,120,genre_8
52,"Madness of King George, The (1994)",1994,120,genre_8
53,Natural Born Killers (1994),1994,120,genre_1
54,Outbreak (1995),1995,120,genre_1
55,"Professional, The (1994)",1994,120,genre_6
56,Pulp Fiction (1994),1994,120,genre_6
57,Priest (1994),1994,120,genre_8
58,Quiz Show (1994),1994,120,genre_8
59,Three Colors: Red (1994),1994,120,genre_8
60,Three Colors: Blue (1993),1993,120,genre_8
61,Three Colors: White (1994),1994,120,genre_8
62,Stargate (1994),1994,120,genre_1
63,"Santa Clause, The (1994)",1994,120,genre_4
64,"Shawshank Redemption, The (1994)",1994,120,genre_8
65,What's Eating Gilbert Grape (1993),1993,120,genre_5
66,While You Were Sleeping (1995),1995,120,genre_5
67,Ace Ventura: Pet Detective (1994),1994,120,genre_5
68,"Crow, The (1994)",1994,120,genre_1
69,Forrest Gump (1994),1994,120,genre_5
70,Four Weddings and a Funeral (1994),1994,120,genre_5
71,"Lion King, The (1994)",1994,120,genre_3
72,"Mask, The (1994)",1994,120,genre_5
73,Maverick (1994),1994,120,genre_1
74,Faster Pussycat! Kill! Kill! (1965),1965,120,genre_1
75,Brother Minister: The Assassination of Malcolm X (1994),1994,120,genre_7
76,Carlito's Way (1993),1993,120,genre_6
77,"Firm, The (1993)",1993,120,genre_8
78,Free Willy (1993),1993,120,genre_2
79,"Fugitive, The (1993)",1993,120,genre_1
80,Hot Shots! Part Deux (1993),1993,120,genre_1
81,"Hudsucker Proxy, The (1994)",1994,120,genre_5
82,Jurassic Park (1993),1993,120,genre_1
83,Much Ado About Nothing (1993),1993,120,genre_5
84,Robert A. Heinlein's The Puppet Masters (1994),1994,120,genre_11
85,"Ref, The (1994)",1994,120,genre_5
86,"Remains of the Day, The (1993)",1993,120,genre_8
87,Searching for Bobby Fischer (1993),1993,120,genre_8
88,Sleepless in Seattle (1993),1993,120,genre_5
89,Blade Runner (1982),1982,120,genre_10
90,So I Married an Axe Murderer (1993),1993,120,genre_5
91,"Nightmare Before Christmas, The (1993)",1993,120,genre_4
92,True Romance (1993),1993,120,genre_1
93,Welcome to the Dollhouse (1995),1996,120,genre_5
94,Home Alone (1990),1990,120,genre_4
95,Aladdin (1992),1992,120,genre_3
96,Terminator 2: Judgment Day (1991),1991,120,genre_1
97,Dances with Wolves (1990),1990,120,genre_2
98,"Silence of the Lambs, The (1991)",1991,120,genre_8
99,Snow White and the Seven Dwarfs (1937),1937,120,genre_3
100,Fargo (1996),1997,120,genre_6
101,Heavy Metal (1981),1981,120,genre_1
102,"Aristocats, The (1970)",1970,120,genre_3
103,All Dogs Go to Heaven 2 (1996),1996,120,genre_3
104,Theodore Rex (1995),1996,120,genre_5
105,Sgt. Bilko (1996),1996,120,genre_5
106,Diabolique (1996),1996,120,genre_8
107,Moll Flanders (1996),1996,120,genre_8
108,Kids in the Hall: Brain Candy (1996),1996,120,genre_5
109,Mystery Science Theater 3000: The Movie (1996),1996,120,genre_5
110,Operation Dumbo Drop (1995),1995,120,genre_1
111,"Truth About Cats & Dogs, The (1996)",1996,120,genre_5
112,Flipper (1996),1996,120,genre_2
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",1996,120,genre_8
114,Wallace & Gromit: The Best of Aardman Animation (1996),1996,120,genre_3
115,"Haunted World of Edward D. Wood Jr., The (1995)",1996,120,genre_7
116,Cold Comfort Farm (1995),1996,120,genre_5
117,"Rock, The (1996)",1996,120,genre_1
118,Twister (1996),1996,120,genre_1
119,Maya Lin: A Strong Clear Vision (1994),1994,120,genre_7
120,Striptease (1996),1996,120,genre_5
121,Independence Day (ID4) (1996),1996,120,genre_1
122,"Cable Guy, The (1996)",1996,120,genre_5
123,"Frighteners, The (1996)",1996,120,genre_5
124,Lone Star (1996),1996,120,genre_8
125,Phenomenon (1996),1996,120,genre_8
126,"Spitfire Grill, The (1996)",1996,120,genre_8
127,"Godfather, The (1972)",1972,120,genre_1
128,Supercop (1992),1996,120,genre_1
129,Bound (1996),1996,120,genre_6
130,Kansas City (1996),1996,120,genre_6
131,Breakfast at Tiffany's (1961),1961,120,genre_8
132,"Wizard of Oz, The (1939)",1939,120,genre_2
133,Gone with the Wind (1939),1939,120,genre_8
134,Citizen Kane (1941),1941,120,genre_8
135,2001: A Space Odyssey (1968),1968,120,genre_8
136,Mr. Smith Goes to Washington (1939),1939,120,genre_8
137,Big Night (1996),1996,120,genre_8
138,D3: The Mighty Ducks (1996),1996,120,genre_4
139,"Love Bug, The (1969)",1969,120,genre_4
140,Homeward Bound: The Incredible Journey (1993),1993,120,genre_2
141,"20,000 Leagues Under the Sea (1954)",1954,120,genre_2
